aphiaid,species,ecoregion,taxon
137107,stenella coeruleoalba,Adriatic Sea,Mammals
137194,calonectris diomedea,Adriatic Sea,Birds
445503,puffinus mauretanicus,Adriatic Sea,Birds
1584284,ichthyaetus melanocephalus,Adriatic Sea,Birds
137204,puffinus yelkouan,Adriatic Sea,Birds
137179,phalacrocorax carbo,Adriatic Sea,Birds
159019,pagophilus groenlandicus,Adriatic Sea,Mammals
232052,larus michahellis,Adriatic Sea,Birds
137178,phalacrocorax aristotelis,Adriatic Sea,Birds
137206,chelonia mydas,Adriatic Sea,marine Turtles
137205,caretta caretta,Black Sea,marine Turtles
137098,grampus griseus,Black Sea,Mammals
137209,dermochelys coriacea,Black Sea,marine Turtles
137111,tursiops truncatus,Black Sea,Mammals
137009,monachus monachus,Black Sea,Mammals
137117,phocoena phocoena,Black Sea,Mammals
148776,morus bassanus,Black Sea,Birds
137097,globicephala melas,Black Sea,Mammals
137107,stenella coeruleoalba,Black Sea,Mammals
137194,calonectris diomedea,Black Sea,Birds
445503,puffinus mauretanicus,Black Sea,Birds
1584284,ichthyaetus melanocephalus,Black Sea,Birds
137204,puffinus yelkouan,Black Sea,Birds
137179,phalacrocorax carbo,Black Sea,Birds
159019,pagophilus groenlandicus,Black Sea,Mammals
232052,larus michahellis,Black Sea,Birds
137178,phalacrocorax aristotelis,Black Sea,Birds
137206,chelonia mydas,Black Sea,marine Turtles
137205,caretta caretta,Aegean-Levantine Sea,marine Turtles
137098,grampus griseus,Aegean-Levantine Sea,Mammals
137209,dermochelys coriacea,Aegean-Levantine Sea,marine Turtles
137111,tursiops truncatus,Aegean-Levantine Sea,Mammals
137009,monachus monachus,Aegean-Levantine Sea,Mammals
137117,phocoena phocoena,Aegean-Levantine Sea,Mammals
148776,morus bassanus,Aegean-Levantine Sea,Birds
137097,globicephala melas,Aegean-Levantine Sea,Mammals
137107,stenella coeruleoalba,Aegean-Levantine Sea,Mammals
137194,calonectris diomedea,Aegean-Levantine Sea,Birds
445503,puffinus mauretanicus,Aegean-Levantine Sea,Birds
1584284,ichthyaetus melanocephalus,Aegean-Levantine Sea,Birds
137204,puffinus yelkouan,Aegean-Levantine Sea,Birds
137179,phalacrocorax carbo,Aegean-Levantine Sea,Birds
159019,pagophilus groenlandicus,Aegean-Levantine Sea,Mammals
232052,larus michahellis,Aegean-Levantine Sea,Birds
137178,phalacrocorax aristotelis,Aegean-Levantine Sea,Birds
137206,chelonia mydas,Aegean-Levantine Sea,marine Turtles
137205,caretta caretta,Ionian Sea and the Central Mediterranean Sea,marine Turtles
137098,grampus griseus,Ionian Sea and the Central Mediterranean Sea,Mammals
137209,dermochelys coriacea,Ionian Sea and the Central Mediterranean Sea,marine Turtles
137111,tursiops truncatus,Ionian Sea and the Central Mediterranean Sea,Mammals
137009,monachus monachus,Ionian Sea and the Central Mediterranean Sea,Mammals
137117,phocoena phocoena,Ionian Sea and the Central Mediterranean Sea,Mammals
148776,morus bassanus,Ionian Sea and the Central Mediterranean Sea,Birds
137097,globicephala melas,Ionian Sea and the Central Mediterranean Sea,Mammals
137107,stenella coeruleoalba,Ionian Sea and the Central Mediterranean Sea,Mammals
137194,calonectris diomedea,Ionian Sea and the Central Mediterranean Sea,Birds
445503,puffinus mauretanicus,Ionian Sea and the Central Mediterranean Sea,Birds
1584284,ichthyaetus melanocephalus,Ionian Sea and the Central Mediterranean Sea,Birds
137204,puffinus yelkouan,Ionian Sea and the Central Mediterranean Sea,Birds
137179,phalacrocorax carbo,Ionian Sea and the Central Mediterranean Sea,Birds
159019,pagophilus groenlandicus,Ionian Sea and the Central Mediterranean Sea,Mammals
232052,larus michahellis,Ionian Sea and the Central Mediterranean Sea,Birds
137178,phalacrocorax aristotelis,Ionian Sea and the Central Mediterranean Sea,Birds
137206,chelonia mydas,Ionian Sea and the Central Mediterranean Sea,marine Turtles
137205,caretta caretta,Western Mediterranean Sea,marine Turtles
137098,grampus griseus,Western Mediterranean Sea,Mammals
137209,dermochelys coriacea,Western Mediterranean Sea,marine Turtles
137111,tursiops truncatus,Western Mediterranean Sea,Mammals
137009,monachus monachus,Western Mediterranean Sea,Mammals
137117,phocoena phocoena,Western Mediterranean Sea,Mammals
148776,morus bassanus,Western Mediterranean Sea,Birds
137097,globicephala melas,Western Mediterranean Sea,Mammals
137107,stenella coeruleoalba,Western Mediterranean Sea,Mammals
137194,calonectris diomedea,Western Mediterranean Sea,Birds
445503,puffinus mauretanicus,Western Mediterranean Sea,Birds
1584284,ichthyaetus melanocephalus,Western Mediterranean Sea,Birds
137204,puffinus yelkouan,Western Mediterranean Sea,Birds
137179,phalacrocorax carbo,Western Mediterranean Sea,Birds
159019,pagophilus groenlandicus,Western Mediterranean Sea,Mammals
232052,larus michahellis,Western Mediterranean Sea,Birds
137178,phalacrocorax aristotelis,Western Mediterranean Sea,Birds
137206,chelonia mydas,Western Mediterranean Sea,marine Turtles
